Movie Tracker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,First month,,Getting in the groove,,,First rewatches,,,BR2049 and Endgame,,,The Tarantino Experience,,,Lotta free time...,,,"Back home, held back on movies",,,"Preparing for VT, Bilal's first R",,,Focusing on school,,,Joker with the lads,,,"Back into it, Thxgiving break",,,"Movies w/the lads, 1st semester ends",,
January,Date,Rating,February,Date,Rating,March,Date,Rating,April,Date,Rating,May,Date,Rating,June,Date,Rating,July,Date,Rating,August,Date,Rating,September,Date,Rating,October,Date,Rating,November,Date,Rating,December,Date,Rating
January,Date,Rating,February,Date,Rating,March,Date,Rating,April,Date,Rating,May,Date,Rating,June,Date,Rating,July,Date,Rating,August,Date,Rating,September,Date,Rating,October,Date,Rating,November,Date,Rating,December,Date,Rating
The Matrix,1,4,Citizen Kane,1,4,"Lock, Stock, and Two Smoking Barrels",4,4,Harry Potter and the Chamber of Secrets,10,3,The Town,5,4,Dead Poets Society,1,3.5,The Godfather,1,5,Palm Springs,1,4,Green Room,12,4,Prisoners,3,5,Iron Man,15,5,Thor: The Dark World,2,2.5
The Other Guys,1,3.5,Oldboy,1,5,Blade Runner 2049,6,5,Rock n' Rolla,17,3.5,Inside Man,6,2.5,Harry Potter and the Half-Blood Prince,1,4,Jaws,4,4.5,The Pink Panther,2,4,The Prestige,19,4.5,Nocturnal Animals,6,4.5,Iron Man 2,20,3.5,Captain America: The Winter Soldier,3,4
"South Park: Bigger, Longer, Uncut",2,4,Toy Story 4,2,5,The Nice Guys,6,5,Batman Begins,25,4,mother!,8,4.5,Transformers: Dark of the Moon,2,3.5,The Godfather Part II,5,4.5,Boyz n the Hood,2,4.5,Hereditary,19,5,Borat,31,3.5,Thor,24,2.5,Guardians of the Galaxy,7,4
Game Night,2,4,What Did Jack Do?,2,3,Vertigo,7,4,,,,Blazing Saddles,8,3.5,Transformers: Age of Extinction,2,0.5,The Last Dance,8,4.5,Mean Streets,5,3.5,Kiss Kiss Bang Bang,23,5,,,,Captain America: The First Avenger,27,3,Avengers: Age of Ultron,11,3
John Mulaney and the Sack Lunch Bunch,3,3.5,The Two Popes,3,4.5,Blade Runner,7,4.5,,,,Harry Potter and the Prisoner of Azkaban,11,4.5,The Day After Tomorrow,2,3.5,Halloween,10,4,High Anxiety,8,2.5,Enemy,26,4.5,,,,The Avengers,29,4.5,Ant-Man,16,3.5
Old School,3,2,How To Train Your Dragon: The Hidden World,4,4,Her,8,4.5,,,,Argo,14,4.5,Harry Potter and the Deathly Hallows Part 1,3,4.5,Young Frankenstein,10,3,The Conversation,8,4.5,,,,,,,Iron Man 3,30,3,Sky High,21,1.5
Drive,3,5,Jojo Rabbit,5,4,The Assassination of Jesse James by the Coward Robert Ford,10,4,,,,The Big Short,15,5,Harry Potter and the Deathly Hallows Part 2,3,4,"The Good, the Bad and the Ugly",11,4.5,Hard Eight,11,3,,,,,,,,,,Hamilton,21,4
Call Me By Your Name,4,3,Little Women,6,4.5,Clue,10,4,,,,Men in Black: International,15,1.5,Heat,3,4,Spirited Away,16,5,"Planes, Trains, and Automobiles",22,3,,,,,,,,,,The Nice Guys,23,5
Rush Hour 2,5,4,A Beautiful Day in the Neighborhood,7,3.5,The Talented Mr. Ripley,10,4,,,,Napoleon Dynamite,17,4,The Fellowship of the Ring,4,3.5,Donnie Darko,18,2.5,Murder on the Orient Express (1979),24,3.5,,,,,,,,,,Captain America: Civil War,24,4
Bad Boys,8,3,Spectre,8,2.5,Pirates of the Caribbean: Curse of the Black Pearl,11,3.5,,,,Def Comedy Jam 25,18,3.5,Just Mercy,7,4,North by Northwest,19,5,Oldboy,29,5,,,,,,,,,,Doctor Strange,27,3.5
Hustlers,8,4,Memories of Murder,11,4.5,John Wick: Chapter 3 - Parabellum,12,3.5,,,,Green Room,20,4,The Two Towers,8,4,Monty Python and the Holy Grail,20,4.5,,,,,,,,,,,,,,,
Ocean's Twelve,9,4.5,Batman: Mask of the Phantasm,16,3.5,Shine,13,4,,,,Harry Potter and the Goblet of Fire,28,4,Leave No Trace,8,3.5,Touch of Evil,20,3.5,,,,,,,,,,,,,,,
First Reformed,10,3.5,Sherlock Jr.,17,4,Sicario,13,4.5,,,,Harry Potter and the Order of the Phoenix,31,3.5,Blue Streak,8,2.5,Chinatown,22,4.5,,,,,,,,,,,,,,,
Get Hard,11,2,Speed Racer,22,2,Pokemon: Detective Pikachu,14,2.5,,,,The Dark Knight,31,5,The Return of the King,9,4.5,High Noon,26,4,,,,,,,,,,,,,,,
Knives Out,12,4.5,Dial M for Murder,23,4.5,Rear Window,14,4.5,,,,,,,The Adventures of Tintin,9,4.5,Raging Bull,30,4,,,,,,,,,,,,,,,
Bad Boys II,13,2,Good Boys,29,2.5,Kiss Kiss Bang Bang,15,5,,,,,,,Blade Runner 2049,10,5,Apocalypse Now,31,3.5,,,,,,,,,,,,,,,
Blade Runner 2049,14,5,,,,The Hustle,18,1,,,,,,,The Dark Knight Rises,10,5,Dr. Strangelove,31,5,,,,,,,,,,,,,,,
Dunkirk,14,5,,,,Avengers: Infinity War,19,5,,,,,,,World War Z,11,4,,,,,,,,,,,,,,,,,,
2001: A Space Odyssey,15,4.5,,,,Insomnia,21,4,,,,,,,Infernal Affairs,12,3.5,,,,,,,,,,,,,,,,,,
10 Cloverfield Lane,16,4.5,,,,Burning,23,4,,,,,,,3:10 to Yuma,12,4,,,,,,,,,,,,,,,,,,
Ocean's Thirteen,16,3.5,,,,The Gentleman,24,4,,,,,,,Layer Cake,13,4,,,,,,,,,,,,,,,,,,
L.A. Confidential,16,4,,,,,,,,,,,,,Dawn of the Planet of the Apes,13,4,,,,,,,,,,,,,,,,,,
Friday,17,4.5,,,,,,,,,,,,,War for the Planet of the Apes,14,5,,,,,,,,,,,,,,,,,,
1917,17,5,,,,,,,,,,,,,Transformers: The Last Knight,15,0.5,,,,,,,,,,,,,,,,,,
Quantum of Solace,18,2,,,,,,,,,,,,,The Way Back,16,3.5,,,,,,,,,,,,,,,,,,
Bad Boys for Life,18,3.5,,,,,,,,,,,,,Tropic Thunder,16,4.5,,,,,,,,,,,,,,,,,,
Skyfall,23,4.5,,,,,,,,,,,,,Unforgiven,17,4,,,,,,,,,,,,,,,,,,
Pain and Glory,27,4,,,,,,,,,,,,,The Fugitive,17,3.5,,,,,,,,,,,,,,,,,,
The Departed,28,4.5,,,,,,,,,,,,,Man on Fire,18,1,,,,,,,,,,,,,,,,,,
Klaus,30,4,,,,,,,,,,,,,Escape from New York,18,4.5,,,,,,,,,,,,,,,,,,
Ready or Not,31,3.5,,,,,,,,,,,,,A Fistful of Dollars,19,3.5,,,,,,,,,,,,,,,,,,
The Empire Strikes Back,31,4.5,,,,,,,,,,,,,Iron Man 3,19,3.5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,The Hunt for Red October,19,4.5,,,,,,,,,,,,,,,,,,
2020 Statistics,,,,,,,,,,,,,,,Raiders of the Lost Ark,22,4.5,,,,,,,,,,,,,,,,,,
Highest Monthly Average Rating,#NAME?,,,,,,,,,,,,,,Sicario,25,4.5,,,,,,,,,,,,,,,,,,
Most Films Watched in a Month,41,,,,,,,,,,,,,,For a Few Dollars More,25,4,,,,,,,,,,,,,,,,,,
Average Overall Rating for 2020,3.87,,,,,,,,,,,,,,Indiana Jones and the Temple of Doom,25,5,,,,,,,,,,,,,,,,,,
Average Movies Per Month,14.83,,,,,,,,,,,,,,The Handmaiden,27,4.5,,,,,,,,,,,,,,,,,,
Total Unique Films Watched in 2020,148,,,,,,,,,,,,,,A Quiet Place,28,4,,,,,,,,,,,,,,,,,,
Total Films Watched in 2020,178,,,,,,,,,,,,,,Pirates of the Caribbean: Dead Man's Chest,30,3,,,,,,,,,,,,,,,,,,
5 Star Ratings This Year,12,,,,,,,,,,,,,,Widows,30,3.5,,,,,,,,,,,,,,,,,,
Movies Released This Year,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Must Watches Completed from This Year,31.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movies rewatched for the first time on LB,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movies Watched More Than Once in 2020,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movies Rewatched on LB in Previous Years,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Rewatches in 2020,67,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
Total Unique Movies Watched on Letterboxd,338,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
Total Movies Recorded on Letterboxd,378,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,
,3,,,1,,,,,,,,,8,,,19,,,10,,,,,,,,,,,,,,,,
32,16,3.84,16,2,3.81,21,10,4.02,3,,3.50,14,15,3.86,41,25,3.78,17,20,4.21,10,2,3.75,5,19,4.60,3,,4.33,6,,3.58,10,21,3.50
2021,Waiting for TENET,,Completing some long overdues,,,DC and Marvel,,,Checking off some Must Watches,,,Variety hour,31,,Back to theaters,,,2021 szn,31,,More Must Watches and 2021,8,,Spoder-Man,,,DUNE!!!,,,Variety Hour 2: Electric Boogaloo,,,2021 EOY grind,,
January,Date,Rating,February,Date,Rating,March,Date,Rating,April,Date,Rating,May,Date,Rating,June,Date,Rating,July,Date,Rating,August,Date,Rating,September,Date,Rating,October,Date,Rating,November,Date,Rating,December,Date,Rating
TENET,18,4.5,Sicario,6,4.5,Avengers: Infinity War,4,5,Justice League: War,8,3,Jerry Maguire,1,4,I Care A Lot,8,3.5,Panic Room,9,3.5,Sanju,1,4,Shang-Chi and the Legend of the Ten Rings,8,3.5,Titane,1,1.5,First Man,1,4,Hotel Rwanda,1,4
Interstellar,20,5,Basic Instinct,18,3,War Dogs,6,3.5,Promising Young Woman,22,4.5,The Comeback Trail,9,3,Bridge of Spies,8,4,Fear Street: 1994,11,3,Double Indemnity,1,4,Spider-Man 3,12,2,The Incredible Hulk,5,2,The Lobster,2,4.5,The Game,10,4.5
Mystic River,24,3.5,Slumdog Millionaire,20,4,mother!,7,4.5,Dragged Across Concrete,26,3.5,Judas and the Black Messiah,9,4.5,Rush Hour,9,4.5,Black Widow,12,3,Upgrade ,4,3.5,The Amazing Spider-Man,12,3,Burn After Reading,10,4,The Harder They Fall,3,4,The Last Duel,11,4
Shutter Island,25,4,No Country for Old Men,20,5,Ant-Man and the Wasp,12,3,The Hateful Eight,27,5,Kangaroo Jack,11,1.5,A Quiet Place Part II,13,4,Solaris,13,1.5,Rope ,4,4,The Amazing Spider-Man 2,16,2,BlacKkKlansman,15,5,The Guilty,4,3.5,Spencer,12,4.5
Soul,31,4.5,The Tree of Life,21,1.5,Captain Marvel,20,3,,,,The Place Beyond the Pines,12,4.5,The Italian Job (1969),14,3,Fear Street: 1978,15,3,The Suicide Squad,9,4,Reminiscence,16,3,DUNE,22,5,Mad Max,4,3,Spider-Man Homecoming,17,4.5
,,,Guardians of the Galaxy Vol. 2,22,3,Avengers: Endgame,22,5,,,,The Aviator,12,4,Gravity,14,3.5,The Queen's Gambit,17,4.5,The Maltese Falcon,10,5,Princess Mononoke,18,3,,,,A Clockwork Orange,4,5,Spider-Man: Far From Home,18,4
,,,Spider-Man: Homecoming,23,4.5,Spider-Man: Far From Home,24,4,,,,The Woman in the Window,15,3,Road to Perdition,15,4,Luca,18,3.5,"Batman: The Long Halloween, Part 1",12,3,Rush Hour,19,4.5,,,,Only God Forgives,5,0.5,Spider-Man: No Way Home,18,5
,,,Thor: Ragnarok,24,4,Zack Snyder's Justice League,27,3,,,,The Trial of the Chicago 7,16,4.5,In the Heights,19,4,Fear Street: 1666,19,3,TENET (rewatch),15,4.5,Venom,26,2,,,,Dirty Rotten Scoundrels,6,3.5,The French Dispatch,19,3.5
,,,Black Panther,25,3,Justice League: The Flashpoint Paradox,28,3.5,,,,Andhadhun,16,4.5,Grown Ups,20,2.5,Speed,20,3.5,Beckett,16,2.5,Midnight Run,30,3.5,,,,Batman Begins,8,4,F9,20,1
,,,The Cabin in the Woods,26,4,,,,,,,Nobody,17,3.5,Bad Education,24,3.5,Polytechnique,21,4,"Batman: The Long Halloween, Part 2",16,3.5,,,,,,,The Dark Knight,10,5,Nightmare Alley,21,3.5
,,,,,,,,,,,,Kabhi Khushi Khabhie Gham,26,5,The Karate Kid (1984),25,3.5,Another Round,22,5,Gangster Squad,16,2,,,,,,,Eternals,13,3,No Time to Die,23,4
,,,,,,,,,,,,,,,,,,Pineapple Express,29,2.5,The Manchurian Candidate,19,5,,,,,,,Snatch,14,3.5,The Matrix Resurrections,24,2
,,,,,,,,,,,,,,,,,,,,,The Green Knight,19,4.5,,,,,,,The Dark Knight Rises,17,5,Don't Look Up,24,3.5
,,,,,,,,,,,,,,,,,,,,,21 Jump Street,19,4,,,,,,,Last Night in Soho,20,3,No Sudden Move,24,3
,,,,,,,,,,,,,,,,,,,,,22 Jump Street,24,4,,,,,,,"tick, tick...BOOM!",21,4,Candyman,25,2.5
,,,,,,,,,,,,,,,,,,,,,Spider-Man,29,3.5,,,,,,,The Card Counter,22,1,Candyman,25,3
,,,,,,,,,,,,,,,,,,,,,Spider-Man 2,30,4.5,,,,,,,A Serious Man,22,3.5,The Mitchells vs. the Machines,26,4
,,,,,,,,,,,,,,,,,,,,,The Birds,31,3.5,,,,,,,Gangs of New York,24,1.5,King Richard,27,3.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Venom: Let There Be Carnage,25,1,Malcolm & Marie,27,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Wrong Man,25,3.5,The Little Things,28,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Casablanca,27,5,Licorice Pizza,29,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruella,30,3.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Lost Daughter,31,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021 Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highest Monthly Average Rating,#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Most Films Watched in a Month,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Overall Rating for 2021,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Movies Per Month,11.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Unique Films Watched in 2021,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Films Watched in 2021,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Star Ratings This Year,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movies Released This Year,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Must Watches Completed from This Year,29.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movies rewatched for the first time on LB,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movies Watched More Than Once in 2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movies Rewatched in Previous Years,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Rewatches in 2021,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Unique Movies Watched on Letterboxd,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Movies Recorded on Letterboxd,516,,,,,,,,,,,,9,,,8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,12,,,14,,,,,,16,,,,,,,,,,,,,
5,,4.30,10,20,3.65,9,,3.83,4,,4.00,11,16,3.82,11,,3.64,12,,3.33,18,19,3.83,9,12,2.94,5,,3.50,21,4,3.38,23,24,3.39
2022            22 films from the 20s to the 20s,,,I'm busy,,,The Batman,,,2049 returns and EEAAO,,,Multiversal,,,Frat pack and more,,,Top Gun blows my mind,,,Bullet Train ends a W side quest day,,,Depression,16,,Smile after a girls day out/Terrifier guns,,,Thanksgiving throwbacks,,,A 2022 speedrun,,
