2019,Movies in a month,Monthly Averages,Rewatches for the first time on LB,Multiple Rewatches,2019 Films,Must Watches Completed,2020,Movies in a month,Monthly Averages,Rewatches for the first time on LB,First time rewatches,Multiple Rewatches,2020 Films,Must Watches Completed,2021,Movies in a month,Monthly Averages,Rewatches for the first time on LB,First time rewatches,Multiple Rewatches,2021 Films,Must Watches Completed,2022,Movies in a month,Monthly Averages,Rewatches for the first time on LB,First time rewatches,Multiple Rewatches,2022 Films,Must Watches Completed,2023,Movies in a month,Monthly Averages,Rewatches for the first time on LB,First time rewatches,Multiple Rewatches,2023 Films,Must Watches Completed,2024,Movies in a month,Monthly Averages,Rewatches for the first time on LB,First time rewatches,Multiple Rewatches,2024 Films,Must Watches Completed,2025,Movies in a month,Monthly Averages,Rewatches for the first time on LB,First time rewatches,Multiple Rewatches,2025 Films,Must Watches Completed
Short film,,,The Phantom Menace,,,The Irishman,,,,Raiders of the Lost Ark,,,,The Hunt for Red October,,,,,,The Matrix Resurrections,Spencer,Reminiscence,,,,,,,,The Gray Man,,,,,,,Poor Things,,,,,Batman Returns,,,,Jarhead,,,,,,,,
,,,The Sorcerer's Stone,,,Fight Club,,,,Temple of Doom,,,,The Handmaiden,,,,,,Don't Look Up,Spider-Man: No Way Home,Princess Mononoke,,,,,,,,Bullet Train,,,,,,,The Holdovers,,,,,Over The Hedge,,,,The Devil Wears Prada,,,,,,,,
,,,Attack of the Clones,,,Phantom Thread,,,,Thor,,,,A Quiet Place,,,,,,No Sudden Move,The French Dispatch,Titane,,,,,,,,To Catch a Thief,,,,,,,Blackberry,,,,,Alien: Covenant,,,,Once Upon a Time in America,,,,,,,,
,,,Revenge of the Sith,,,The Lighthouse,,,,The First Avenger,,,,POTC: Dead Man's Chest,,,,,,Candyman,F9,Dune,,,,,,,,The Road,,,,,,,Wonka,,,,,The Fast and The Furious,,,,,,,,,,,,
,,,Ocean's Eleven,,,Parasite,,,,The Dark World,,,,Widows,,,,,,The Mitchells vs. the Machines,Must Watches Completed,First Man,,,,,,,,The Northman,,,,,,,Teenage Mutant Ninja Turtles: Mutant Mayhem,,,,,2 Fast 2 Furious,,,,,,,,,,,,
,,,,,,Ad Astra,,,,Guardians of the Galaxy,,,,Jaws,,,,,,King Richard,The French Dispatch,The Lobster,,,,,,,,Amsterdam,,,,,,,Meg 2: The Trench,,,,,The Fast and The Furious: Tokyo Drift,,,,,,,,,,,,
,,,,,,Ford v. Ferrari,,,,Ant-Man,,,,The Godfather Part II,,,,,,Malcolm & Marie,Nightmare Alley,The Harder They Fall,,,,,,,,The Unbearable Weight of Massive Talent,,,,,,,The Archies,,,,,Fast & Furious,,,,,,,,,,,,
,,,,,,Inside Llewyn Davis,,,,Sky High,,,,Halloween,,,,,,The Little Things,No Time to Die,The Guilty,,,,,,,,Cha Cha Real Smooth,,,,,,,American Fiction,,,,,Fast Five,,,,,,,,,,,,
,,,,,,Uncut Gems,,,,Dr. Strange,,,,Young Frankenstein,,,,,,Licorice Pizza,Don't Look Up,A Clockwork Orange,,,,,,,,,,,,,,,Ferrari,,,,,Fast and Furious 6,,,,,,,,,,,,
,,,,,,The Master,,,,,,,,"The Good, the Bad, and the Ugly",,,,,,Cruella,No Sudden Move,Eternals,,,,,,,,,,,,,,,,,,,,Project X,,,,,,,,,,,,
,,,,,,Marriage Story,,,,,,,,Spirited Away,,,,,,The Lost Daughter,Candyman,Last Night in Soho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Donnie Darko,,,,,,,The Mitchells vs. the Machines,The Card Counter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,North by Northwest,,,,,,,King Richard,A Serious Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Touch of Evil,,,,,,,Malcolm & Marie,Gangs of New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Chinatown,,,,,,,The Little Things,The Wrong Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Raging Bull,,,,,,,Licorice Pizza,Casablanca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Mean Streets,Apocalypse Now,,,,,,,,The Suicide Squad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,The Conversation,Dr. Strangelove,,,,,,,,Mad Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Hard Eight,The Pink Panther,,,,,,,,The Last Duel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Murder on the Orient Express (1979),Boyz n the Hood,,,,,,,,Spider-Man: No Way Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,33,10,21,39,,,,37,5,25,7,52,,,,17,1,19,45,59,,,,2,2,12,22,36,,,,8,0,10,37,28,,,,38,0,20,10,31,,,,1,0,6,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Month with Highest Average Rating,Highest Average Rating in a Month,Month with Highest Movies Watched,Most Movies Watched in A Month,Yearly Average Rating,Sum of All Ratings That Year,Yearly Average Movies Per Month ,Movies Watched,5 Star Films,Movies Watched released in current year,Percentage of Films Rewatched,Rewatched Movies,Movies Rewatched Multiple Times (combined),Must Watches Completed,Must Watches Listed,Must Watches Completed % in that year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,#NAME?,#NAME?,June '19,42,4.00,799.5,16.67,200,30,21,22%,33,10,39,76,51.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,#NAME?,#NAME?,June '20,41,3.87,689,14.83,178,12,7,38%,37,30,52,167,31.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,#NAME?,#NAME?,December '21,23,3.57,492.5,11.50,138,9,45,27%,17,20,59,200,29.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,#NAME?,#NAME?,January '22,31,3.82,386,9.18,101,12,22,16%,2,14,36,175,20.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,#NAME?,#NAME?,December '23,47,3.68,604,8.50,102,17,37,18%,8,10,28,140,20.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,#NAME?,#NAME?,July '24,50,3.68,604,13.67,164,16,10,35%,38,20,31,120,25.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,#NAME?,#NAME?,January '25,13,33.63,672.5,6.67,20,3,0,35%,1,6,1,100,1.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highest Monthly Average Rating,#NAME?,#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Most Films Watched in a Month,50,July '24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highest Yearly Average Rating,33.63,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highest Movies Per Month,16.67,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Movies/Month,25.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Movies/Year,129.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of Films Rewatched,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Yearly Rating,4.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Unique Films Watched,793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Films Watched,903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total 5 Star Ratings,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Movie Watched released in the Current Year,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Must Watches Completed,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Movies Rewatched Once,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Movies Rewatched Multiple Times,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Rewatches,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
